id,doi,affiliation_raw,country,country_iso2,source,confidence
10315744,10.1109/SCCC59417.2023.10315744,"Universidad T&#x00E9;cnica Federico Santa Mar&#x00ED;a,Departamento de Electr&#x00F3;nica,Santiago,Chile",Chile,CL,crossref,0.9
10405724,10.1109/MetroXRAINE58569.2023.10405724,"University of Siena,Department of Information Engineering and Mathematics,Siena,Italy",Italy,IT,crossref,0.9
11037909,10.1109/CEII65291.2024.00052,"Guangdong Power Grid Co. Ltd,Guangzhou,China",China,CN,crossref,0.9
11164582,,"{'url': 'https://ieeexplore-ieee-org.crai.referencistas.com/document/11164582', 'isbn': '9783111425511', 'publisher': 'De Gruyter', 'issn': '', 'doi': '', 'keywords': '', 'abstract': 'Generative artificial intelligence (AI) has been a prominent technique across data-driven applications, which uses deep learning architecture to learn the underlying characteristic of the sample to build the knowledge base in generating synthetic samples that mimic the real distribution. Generative AI models are ideal solutions where models suffer due to scarcity of data sample that hinders the training process be it text, video, audio, and image. Training the model plays a pivotal role, where it discovers the hidden pattern and understands the intrinsic behavior of samples that aid in generating realistic samples. The volume of data that is available for training and the computing power required pose threat on the performance of the intelligent systems, where large language models (LLM) has been an ideal solution. LLMs are generative AI systems that understand human language and provide intelligent, creative solutions to questions. Complex architecture of LLM allows them to capture the intricacies of language more precise, enabling to generate coherent and contextually relevant outputs. This chapter delves into comprehensive analysis on the well-known generative AI models such as generative adversarial networks, transformers, and LangChain. Generative AI employs different training techniques such as reinforcement learning, adversarial training, variational inference, transfer learning, and progressive training on diverse application domains. Furthermore, the study examines the crucial aspect of evaluating the effectiveness of generative models, using a variety of metrics ranging from BLUE, inception score, perplexity, Frechet inception distance, precision, ROUGE, recall, METEOR, BERT, MoverScore, and many more. A comparative analysis of these metrics offers insights into their respective advantages and disadvantages, aiding practitioners and researchers in selecting benchmarks that align with their specific use cases.', 'pages': '43-68', 'number': '', 'volume': '', 'year': '2024', 'title': '3 Generative AI Models and LLM: Training Techniques and Evaluation Metrics', 'booktitle': 'Generative AI and LLMs: Natural Language Processing and Generative Adversarial Networks', 'author': 'Arun, C. and Karthick, S. and Selvakumara Samy, S. and Hariharan, B. and Lee, Po-Ming', 'ENTRYTYPE': 'inbook', 'ID': '11164582'}",United States,,heuristic,0.3
10305172,10.1109/ACCESS.2023.3329573,"Research Institute of China Telecom Corporation Ltd., Beijing, China",China,CN,crossref,0.9
9339015,10.1109/ITAIC49862.2020.9339015,,,,crossref,0.5
9414429,10.1109/ICASSP39728.2021.9414429,,,,crossref,0.5
9377424,10.1109/IMCOM51814.2021.9377424,,,,crossref,0.5
10435654,10.1109/ICMNWC60182.2023.10435654,"College of Pharmacy, Ahl Al Bayt University,Karbala,Iraq",Iraq,IQ,crossref,0.9
11065002,10.1109/DDCLS66240.2025.11065002,"Shaoxing University,Department of Electrical Engineering and Automation,Shaoxing,P. R. China,312000",China,CN,crossref,0.9
10097009,10.1109/ICASSP49357.2023.10097009,"National Tsing Hua University,Institute of Information Systems and Applications",,,crossref,0.5
10928135,10.1109/ICVES61986.2024.10928135,"Technical University of Munich,Germany",Germany,DE,crossref,0.9
10988785,10.1109/MCSE.2025.3567208,"National Renewable Energy Laboratory, Golden, CO, USA",United States,US,crossref,0.9
11082753,10.1109/AIIT63112.2025.11082753,"Data Scientist Tradorhythm,Riyadh,Saudi Arabia",Saudi Arabia,SA,crossref,0.9
9475883,10.1109/MAES.2020.3043072,,,,crossref,0.5
10489036,10.1109/ICDT61202.2024.10489036,"G. L. Bajaj Institute of Technology and Management,CSE Department,Greater Noida,Uttar Pradesh,India,201310",India,IN,crossref,0.9
9335504,10.1109/TNNLS.2020.3046924,"Inception Institute of Artificial Intelligence, Abu Dhabi, United Arab Emirates",United Arab Emirates,AE,crossref,0.9
10400892,10.1109/TCE.2024.3354824,"Institute of Artificial Intelligence, Guangzhou University, Guangzhou, China",China,CN,crossref,0.9
9261734,10.1109/ICSMD50554.2020.9261734,,,,crossref,0.5
10070223,10.1109/AIIPCC57291.2022.00016,"Shanghai Polytechnic University, College of Engineering,Shanghai,China",China,CN,crossref,0.9
9065225,10.1109/ICAIIC48513.2020.9065225,,,,crossref,0.5
10206191,10.1109/ICAIBD57115.2023.10206191,"Sri Lanka Institute of Information Technology,Department of Software Engineering,Colombo,Sri Lanka",Sri Lanka,LK,crossref,0.9
10489393,10.1109/ICDT61202.2024.10489393,"GoDaddy,Snohomish,Washington,USA",United States,US,crossref,0.9
10533091,10.1109/ICCR61006.2024.10533091,"University of Petra,Department of Pharmaceutics and Pharmaceutical Technology,Amman,Jordan",Jordan,JO,crossref,0.9
10550305,10.1109/IC3IoT60841.2024.10550305,"DEEE SRI SAIRAM INSTITUTE OF TECHNOLOGY,CHENNAI,INDIA",India,IN,crossref,0.9
10709187,10.1109/ICIPCA61593.2024.10709187,"Beijing Institute of Technology,Center for Sport Science and Physical Education,Zhuhai,China,519000",China,CN,crossref,0.9
11119538,10.1109/ACCESS.2025.3596882,"Department of Computer Science and Information Technology (CSIT), Sol Plaatje University, Kimberley, South Africa",South Africa,ZA,crossref,0.9
10303076,10.1109/AIRC57904.2023.10303076,"Oslo Metropolitan Unviersity (OsloMet),Department of Computer Science,Oslo,Norway",Norway,NO,crossref,0.9
10823621,10.1109/NETAPPS63333.2024.10823621,"Institute for Advanced and Smart Digital Opportunities, School of Computing Universiti Utara Malaysia,Sintok,Malaysia",Malaysia,MY,crossref,0.9
10932698,10.1109/TITS.2025.3546340,"School of Transportation and Logistics and the Office of Asset and Laboratory Management, Southwest Jiaotong University, Chengdu, China",China,CN,crossref,0.9
10408888,10.1109/ITAIC58329.2023.10408888,"China Electric Power Research Institute,Beijing,China",China,CN,crossref,0.9
11158710,10.1109/ICAIE64856.2025.11158710,"Seoul National University,Department in Anthropology,Seoul,South Korea",,,crossref,0.5
