id,title,authors,first_author,doi,year,venue,abstract,keywords,raw_entry
10315744,Do Robots Dream of Passing a Programming Course?,"Torres, Nicolás",Torres,10.1109/SCCC59417.2023.10315744,2023,2023 42nd IEEE International Conference of the Chilean Computer Science Society (SCCC),"Programming typically involves humans formulating instructions for a computer to execute computations. If we adhere to this definition, a machine would seemingly lack the capability to autonomously design algorithms. However, recent generative Artificial Intelligence models, such as GPT, have demonstrated an impressive ability to perform complex human tasks with remarkable precision. In this paper, we initially showcase how an AI model can successfully complete an entire college-level programming course, akin to one of the top-performing students in the class. We then put forward strategies for crafting programming exercises that enable educators to effectively integrate these innovative technologies into their teaching methods. Lastly, we illustrate how these models can transition from being perceived as a potential threat to educators to becoming a valuable opportunity when employed judiciously.",Training;Computational modeling;Instruments;Natural languages;Learning (artificial intelligence);Syntactics;Task analysis;Artificial Intelligence;Neural Networks;Programming;Learning Analysis;Technology-Enhanced Learning,"{'month': 'Oct', 'issn': '2691-0632', 'doi': '10.1109/SCCC59417.2023.10315744', 'keywords': 'Training;Computational modeling;Instruments;Natural languages;Learning (artificial intelligence);Syntactics;Task analysis;Artificial Intelligence;Neural Networks;Programming;Learning Analysis;Technology-Enhanced Learning', 'abstract': 'Programming typically involves humans formulating instructions for a computer to execute computations. If we adhere to this definition, a machine would seemingly lack the capability to autonomously design algorithms. However, recent generative Artificial Intelligence models, such as GPT, have demonstrated an impressive ability to perform complex human tasks with remarkable precision. In this paper, we initially showcase how an AI model can successfully complete an entire college-level programming course, akin to one of the top-performing students in the class. We then put forward strategies for crafting programming exercises that enable educators to effectively integrate these innovative technologies into their teaching methods. Lastly, we illustrate how these models can transition from being perceived as a potential threat to educators to becoming a valuable opportunity when employed judiciously.', 'pages': '1-8', 'number': '', 'volume': '', 'year': '2023', 'title': 'Do Robots Dream of Passing a Programming Course?', 'booktitle': '2023 42nd IEEE International Conference of the Chilean Computer Science Society (SCCC)', 'author': 'Torres, Nicolás', 'ENTRYTYPE': 'inproceedings', 'ID': '10315744'}"
10405724,WeAIR: Wearable Swarm Sensors for Air Quality Monitoring to Foster Citizens' Awareness of Climate Change,"Dimitri, Giovanna Maria and Parri, Lorenzo and Pozzebon, Alessandro and Vitanza, Eleonora and Fort, Ada and Mocenni, Chiara",Dimitri,10.1109/MetroXRAINE58569.2023.10405724,2023,"2023 IEEE International Conference on Metrology for eXtended Reality, Artificial Intelligence and Neural Engineering (MetroXRAINE)","The present study proposes the implementation of an air quality measurement tool through the use of a swarm of wearable devices, named WeAIR, consisting of wearable sensors for measuring NOx, CO2, CO, temperature, humidity, and barometric pressure. Data will be stored and processed in a secure cloud environment. Artificial Intelligence algorithms will be used to visualize and make available real-time predictions of future states of air quality, by reconstructing spatio-temporal dynamical maps collected through the habitual movement of citizens in space and time. Then a pre-processing phase will allow us to appropriately homogenize the collected data, by means of the application of innovative artificial intelligence methods. All the data collected will be embedded into an integrated system with multiple functions. Among them, an important goal will also be to raise citizens' awareness of climate change.",Temperature measurement;Climate change;Cloud computing;Pollution measurement;Reliability;Artificial intelligence;Wearable sensors;climate change;air quality;monitoring devices;health;citizens' science,"{'month': 'Oct', 'issn': '', 'doi': '10.1109/MetroXRAINE58569.2023.10405724', 'keywords': ""Temperature measurement;Climate change;Cloud computing;Pollution measurement;Reliability;Artificial intelligence;Wearable sensors;climate change;air quality;monitoring devices;health;citizens' science"", 'abstract': ""The present study proposes the implementation of an air quality measurement tool through the use of a swarm of wearable devices, named WeAIR, consisting of wearable sensors for measuring NOx, CO2, CO, temperature, humidity, and barometric pressure. Data will be stored and processed in a secure cloud environment. Artificial Intelligence algorithms will be used to visualize and make available real-time predictions of future states of air quality, by reconstructing spatio-temporal dynamical maps collected through the habitual movement of citizens in space and time. Then a pre-processing phase will allow us to appropriately homogenize the collected data, by means of the application of innovative artificial intelligence methods. All the data collected will be embedded into an integrated system with multiple functions. Among them, an important goal will also be to raise citizens' awareness of climate change."", 'pages': '98-103', 'number': '', 'volume': '', 'year': '2023', 'title': ""WeAIR: Wearable Swarm Sensors for Air Quality Monitoring to Foster Citizens' Awareness of Climate Change"", 'booktitle': '2023 IEEE International Conference on Metrology for eXtended Reality, Artificial Intelligence and Neural Engineering (MetroXRAINE)', 'author': 'Dimitri, Giovanna Maria and Parri, Lorenzo and Pozzebon, Alessandro and Vitanza, Eleonora and Fort, Ada and Mocenni, Chiara', 'ENTRYTYPE': 'inproceedings', 'ID': '10405724'}"
11037909,Discriminative-Generative Representation Learning for One-Class Anomaly Detection,"Li, Duanjiao and Chen, Yun and Zhang, Ying and Sun, Wenxing and He, Xing and Tong, Haoran and Ding, Ning and Xia, Xuan",Li,10.1109/CEII65291.2024.00052,2024,2024 7th Asia Conference on Cognitive Engineering and Intelligent lnteraction (CEII),"Generative Adversarial Networks (GANs), as a form of generative self-supervised learning, have garnered significant attention in anomaly detection. However, the generator's capacity for representation learning is constrained due to its excessive focus on pixel-level details, which hinders its ability to effectively learn abstract semantic representations from label prediction pretext tasks compared to the discriminator. To enhance the generator's representation learning capabilities, we introduce a self-supervised learning framework that integrates generative and discriminative approaches. Our proposed discriminative-generative representation learning method not only rivals the performance of discriminative methods but also offers a significant speed advantage. When applied to one-class anomaly detection tasks, our method surpasses several state-of-the-art models on various benchmark datasets, improving upon the top-performing GAN-based baseline by 6\% on CIFAR-10 and 2\% on MVTAD. Furthermore, ablation studies reveal that absolute positional information negatively impacts the representational learning ability of generative methods in geometric transformation tasks, offering a valuable guideline for the utilization of positional information.",Representation learning;Semantics;Asia;Self-supervised learning;Benchmark testing;Generative adversarial networks;Generators;Anomaly detection;Guidelines;self-supervised learning;anomaly detection;discriminative;generative;one-class,"{'month': 'Dec', 'issn': '', 'doi': '10.1109/CEII65291.2024.00052', 'keywords': 'Representation learning;Semantics;Asia;Self-supervised learning;Benchmark testing;Generative adversarial networks;Generators;Anomaly detection;Guidelines;self-supervised learning;anomaly detection;discriminative;generative;one-class', 'abstract': ""Generative Adversarial Networks (GANs), as a form of generative self-supervised learning, have garnered significant attention in anomaly detection. However, the generator's capacity for representation learning is constrained due to its excessive focus on pixel-level details, which hinders its ability to effectively learn abstract semantic representations from label prediction pretext tasks compared to the discriminator. To enhance the generator's representation learning capabilities, we introduce a self-supervised learning framework that integrates generative and discriminative approaches. Our proposed discriminative-generative representation learning method not only rivals the performance of discriminative methods but also offers a significant speed advantage. When applied to one-class anomaly detection tasks, our method surpasses several state-of-the-art models on various benchmark datasets, improving upon the top-performing GAN-based baseline by 6\\% on CIFAR-10 and 2\\% on MVTAD. Furthermore, ablation studies reveal that absolute positional information negatively impacts the representational learning ability of generative methods in geometric transformation tasks, offering a valuable guideline for the utilization of positional information."", 'pages': '227-232', 'number': '', 'volume': '', 'year': '2024', 'title': 'Discriminative-Generative Representation Learning for One-Class Anomaly Detection', 'booktitle': '2024 7th Asia Conference on Cognitive Engineering and Intelligent lnteraction (CEII)', 'author': 'Li, Duanjiao and Chen, Yun and Zhang, Ying and Sun, Wenxing and He, Xing and Tong, Haoran and Ding, Ning and Xia, Xuan', 'ENTRYTYPE': 'inproceedings', 'ID': '11037909'}"
11164582,3 Generative AI Models and LLM: Training Techniques and Evaluation Metrics,"Arun, C. and Karthick, S. and Selvakumara Samy, S. and Hariharan, B. and Lee, Po-Ming",Arun,,2024,Generative AI and LLMs: Natural Language Processing and Generative Adversarial Networks,"Generative artificial intelligence (AI) has been a prominent technique across data-driven applications, which uses deep learning architecture to learn the underlying characteristic of the sample to build the knowledge base in generating synthetic samples that mimic the real distribution. Generative AI models are ideal solutions where models suffer due to scarcity of data sample that hinders the training process be it text, video, audio, and image. Training the model plays a pivotal role, where it discovers the hidden pattern and understands the intrinsic behavior of samples that aid in generating realistic samples. The volume of data that is available for training and the computing power required pose threat on the performance of the intelligent systems, where large language models (LLM) has been an ideal solution. LLMs are generative AI systems that understand human language and provide intelligent, creative solutions to questions. Complex architecture of LLM allows them to capture the intricacies of language more precise, enabling to generate coherent and contextually relevant outputs. This chapter delves into comprehensive analysis on the well-known generative AI models such as generative adversarial networks, transformers, and LangChain. Generative AI employs different training techniques such as reinforcement learning, adversarial training, variational inference, transfer learning, and progressive training on diverse application domains. Furthermore, the study examines the crucial aspect of evaluating the effectiveness of generative models, using a variety of metrics ranging from BLUE, inception score, perplexity, Frechet inception distance, precision, ROUGE, recall, METEOR, BERT, MoverScore, and many more. A comparative analysis of these metrics offers insights into their respective advantages and disadvantages, aiding practitioners and researchers in selecting benchmarks that align with their specific use cases.",,"{'url': 'https://ieeexplore-ieee-org.crai.referencistas.com/document/11164582', 'isbn': '9783111425511', 'publisher': 'De Gruyter', 'issn': '', 'doi': '', 'keywords': '', 'abstract': 'Generative artificial intelligence (AI) has been a prominent technique across data-driven applications, which uses deep learning architecture to learn the underlying characteristic of the sample to build the knowledge base in generating synthetic samples that mimic the real distribution. Generative AI models are ideal solutions where models suffer due to scarcity of data sample that hinders the training process be it text, video, audio, and image. Training the model plays a pivotal role, where it discovers the hidden pattern and understands the intrinsic behavior of samples that aid in generating realistic samples. The volume of data that is available for training and the computing power required pose threat on the performance of the intelligent systems, where large language models (LLM) has been an ideal solution. LLMs are generative AI systems that understand human language and provide intelligent, creative solutions to questions. Complex architecture of LLM allows them to capture the intricacies of language more precise, enabling to generate coherent and contextually relevant outputs. This chapter delves into comprehensive analysis on the well-known generative AI models such as generative adversarial networks, transformers, and LangChain. Generative AI employs different training techniques such as reinforcement learning, adversarial training, variational inference, transfer learning, and progressive training on diverse application domains. Furthermore, the study examines the crucial aspect of evaluating the effectiveness of generative models, using a variety of metrics ranging from BLUE, inception score, perplexity, Frechet inception distance, precision, ROUGE, recall, METEOR, BERT, MoverScore, and many more. A comparative analysis of these metrics offers insights into their respective advantages and disadvantages, aiding practitioners and researchers in selecting benchmarks that align with their specific use cases.', 'pages': '43-68', 'number': '', 'volume': '', 'year': '2024', 'title': '3 Generative AI Models and LLM: Training Techniques and Evaluation Metrics', 'booktitle': 'Generative AI and LLMs: Natural Language Processing and Generative Adversarial Networks', 'author': 'Arun, C. and Karthick, S. and Selvakumara Samy, S. and Hariharan, B. and Lee, Po-Ming', 'ENTRYTYPE': 'inbook', 'ID': '11164582'}"
10305172,Virtual Human: A Comprehensive Survey on Academic and Applications,"Cui, Lipeng and Liu, Jiarui",Cui,10.1109/ACCESS.2023.3329573,2023,IEEE Access,"As a creative method for virtual human individuals based on multiple fusion technologies such as artificial intelligence, computer graphics, and speech synthesis, virtual human technology has developed rapidly since its birth, and continuous discussions and studies have been conducted in both academia and industry. Starting from the film and television industries, the cross-disciplinary application of virtual human has been continuously recognized and applied in fields such as media, games, and finance. Although virtual human has achieved sufficient development and innovation, it faces many challenges such as emotion recognition, privacy, and security, as well as the uncanny valley effect. This article starts with the development history of virtual human and analyzes the current academic research status and application scenarios in combination with the characteristics, technical architecture, and application of virtual human technology. At the same time, this article sorts out seven mainstream application scenarios of virtual human and analyzes their main advantages and possible future challenges. This article provides a valuable reference for subsequent related research by exploring development trends, application fields, and future research trends in virtual human.",Digital humans;Motion capture;Face recognition;Three-dimensional displays;Speech recognition;Solid modeling;Rendering (computer graphics);Artificial intelligence;Deep learning;Machine learning;Human computer interaction;Metaverse;Artificial intelligence;deep learning;machine learning;human-computer interaction;virtual reality;virtual human;metaverse,"{'month': '', 'issn': '2169-3536', 'doi': '10.1109/ACCESS.2023.3329573', 'keywords': 'Digital humans;Motion capture;Face recognition;Three-dimensional displays;Speech recognition;Solid modeling;Rendering (computer graphics);Artificial intelligence;Deep learning;Machine learning;Human computer interaction;Metaverse;Artificial intelligence;deep learning;machine learning;human-computer interaction;virtual reality;virtual human;metaverse', 'abstract': 'As a creative method for virtual human individuals based on multiple fusion technologies such as artificial intelligence, computer graphics, and speech synthesis, virtual human technology has developed rapidly since its birth, and continuous discussions and studies have been conducted in both academia and industry. Starting from the film and television industries, the cross-disciplinary application of virtual human has been continuously recognized and applied in fields such as media, games, and finance. Although virtual human has achieved sufficient development and innovation, it faces many challenges such as emotion recognition, privacy, and security, as well as the uncanny valley effect. This article starts with the development history of virtual human and analyzes the current academic research status and application scenarios in combination with the characteristics, technical architecture, and application of virtual human technology. At the same time, this article sorts out seven mainstream application scenarios of virtual human and analyzes their main advantages and possible future challenges. This article provides a valuable reference for subsequent related research by exploring development trends, application fields, and future research trends in virtual human.', 'pages': '123830-123845', 'number': '', 'volume': '11', 'year': '2023', 'title': 'Virtual Human: A Comprehensive Survey on Academic and Applications', 'journal': 'IEEE Access', 'author': 'Cui, Lipeng and Liu, Jiarui', 'ENTRYTYPE': 'article', 'ID': '10305172'}"
9339015,Research of Low-light Image Enhancement Method for Enclosed Tank,"Zhang, Xu and Wang, Haipeng and Li, Yunqi and Cui, Qihui and Lyn, Juntao",Zhang,10.1109/ITAIC49862.2020.9339015,2020,2020 IEEE 9th Joint International Information Technology and Artificial Intelligence Conference (ITAIC),"Due to closed environment of gas insulated switchgear (GIS) chamber, low-light images are easily produced when taking pictures under weak lighting conditions. The lost details and low contrast not only cause unpleasant subjective feelings, but also hurt the performance of many computer vision systems which are designed for normal-light images. Thus, a low-light image enhancement algorithm based on improved conditional generative adversarial network (GAN) is proposed here to solve this poor visual perception problem. Decom-Net referenced to RetinexNet used here decompose image into reflection map and illumination map. This study proposed an encode-decode convolutional neural network model as the generative model and a lightweight convolutional neural network(CNN) as the discriminative model. After joint training of generative model and discriminative model, the network outputs the final enhanced images. The experimental results demonstrate that the proposed method is more effective than existing methods in perception.",Training;Lighting;Generative adversarial networks;Reflection;Gas insulation;Convolutional neural networks;Image enhancement;low-light image;convolutional neural network;image enhancement;generative adversarial network,"{'month': 'Dec', 'issn': '2693-2865', 'doi': '10.1109/ITAIC49862.2020.9339015', 'keywords': 'Training;Lighting;Generative adversarial networks;Reflection;Gas insulation;Convolutional neural networks;Image enhancement;low-light image;convolutional neural network;image enhancement;generative adversarial network', 'abstract': 'Due to closed environment of gas insulated switchgear (GIS) chamber, low-light images are easily produced when taking pictures under weak lighting conditions. The lost details and low contrast not only cause unpleasant subjective feelings, but also hurt the performance of many computer vision systems which are designed for normal-light images. Thus, a low-light image enhancement algorithm based on improved conditional generative adversarial network (GAN) is proposed here to solve this poor visual perception problem. Decom-Net referenced to RetinexNet used here decompose image into reflection map and illumination map. This study proposed an encode-decode convolutional neural network model as the generative model and a lightweight convolutional neural network(CNN) as the discriminative model. After joint training of generative model and discriminative model, the network outputs the final enhanced images. The experimental results demonstrate that the proposed method is more effective than existing methods in perception.', 'pages': '991-994', 'number': '', 'volume': '9', 'year': '2020', 'title': 'Research of Low-light Image Enhancement Method for Enclosed Tank', 'booktitle': '2020 IEEE 9th Joint International Information Technology and Artificial Intelligence Conference (ITAIC)', 'author': 'Zhang, Xu and Wang, Haipeng and Li, Yunqi and Cui, Qihui and Lyn, Juntao', 'ENTRYTYPE': 'inproceedings', 'ID': '9339015'}"
9414429,Continuous Face Aging Generative Adversarial Networks,"Jeon, Seogkyu and Lee, Pilhyeon and Hong, Kibeom and Byun, Hyeran",Jeon,10.1109/ICASSP39728.2021.9414429,2021,"ICASSP 2021 - 2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","Face aging is the task aiming to translate the faces in input images to designated ages. To simplify the problem, previous methods have limited themselves only able to produce discrete age groups, each of which consists of ten years. Consequently, the exact ages of the translated results are unknown and it is unable to obtain the faces of different ages within groups. To this end, we propose the continuous face aging generative adversarial networks (CFA-GAN). Specifically, to make the continuous aging feasible, we propose to decompose image features into two orthogonal features: the identity and the age basis features. Moreover, we introduce the novel loss function for identity preservation which maximizes the cosine similarity between the original and the generated identity basis features. With the qualitative and quantitative evaluations on MORPH, we demonstrate the realistic and continuous aging ability of our model, validating its superiority against existing models. To the best of our knowledge, this work is the first attempt to handle continuous target ages.",Conferences;Aging;Signal processing;Generative adversarial networks;Acoustics;Task analysis;Speech processing;Face aging;Image-to-Image translation;Unsupervised Learning;Generative adversarial networks,"{'month': 'June', 'issn': '2379-190X', 'doi': '10.1109/ICASSP39728.2021.9414429', 'keywords': 'Conferences;Aging;Signal processing;Generative adversarial networks;Acoustics;Task analysis;Speech processing;Face aging;Image-to-Image translation;Unsupervised Learning;Generative adversarial networks', 'abstract': 'Face aging is the task aiming to translate the faces in input images to designated ages. To simplify the problem, previous methods have limited themselves only able to produce discrete age groups, each of which consists of ten years. Consequently, the exact ages of the translated results are unknown and it is unable to obtain the faces of different ages within groups. To this end, we propose the continuous face aging generative adversarial networks (CFA-GAN). Specifically, to make the continuous aging feasible, we propose to decompose image features into two orthogonal features: the identity and the age basis features. Moreover, we introduce the novel loss function for identity preservation which maximizes the cosine similarity between the original and the generated identity basis features. With the qualitative and quantitative evaluations on MORPH, we demonstrate the realistic and continuous aging ability of our model, validating its superiority against existing models. To the best of our knowledge, this work is the first attempt to handle continuous target ages.', 'pages': '1995-1999', 'number': '', 'volume': '', 'year': '2021', 'title': 'Continuous Face Aging Generative Adversarial Networks', 'booktitle': 'ICASSP 2021 - 2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)', 'author': 'Jeon, Seogkyu and Lee, Pilhyeon and Hong, Kibeom and Byun, Hyeran', 'ENTRYTYPE': 'inproceedings', 'ID': '9414429'}"
9377424,BCGAN: Facial Expression Synthesis by Bottleneck-Layered Conditional Generative Adversarial Networks,"Shin, Yeji and Bum, Junghyun and Son, Chang-Hwan and Choo, Hyunseung",Shin,10.1109/IMCOM51814.2021.9377424,2021,2021 15th International Conference on Ubiquitous Information Management and Communication (IMCOM),"Facial expression synthesis is widely applied to emotion prediction and face recognition for human-computer interaction. This task is challenging because it is difficult to reconstruct realistic and accurate facial expressions. Early deep learning methods focus only on pixel-level manipulation and are not suitable for generating realistic facial expressions. In this paper, we propose a bottleneck-layered conditional generative adversarial networks (BCGAN) for more realistic and accurate facial expression synthesis. BCGAN adopts a bottleneck layer that uses channel-wise concatenation in the generator to train with meaningful features only. In addition, a dense connection that links all bottleneck layers is added to generate an image which preserves the facial details of the original image. Both quantitative and qualitative evaluations were performed using the Radboud Faces Database (RaFD). Experimental results showed that BCGAN had 2\% higher classification accuracy (98.7\%) on the generated images as well as faster training speed compared to state-of-the-art approach.",Training;Human computer interaction;Face recognition;Generative adversarial networks;Information management;Task analysis;Image reconstruction;Facial expression synthesis;generative adversarial networks;densely connected convolutional networks,"{'month': 'Jan', 'issn': '', 'doi': '10.1109/IMCOM51814.2021.9377424', 'keywords': 'Training;Human computer interaction;Face recognition;Generative adversarial networks;Information management;Task analysis;Image reconstruction;Facial expression synthesis;generative adversarial networks;densely connected convolutional networks', 'abstract': 'Facial expression synthesis is widely applied to emotion prediction and face recognition for human-computer interaction. This task is challenging because it is difficult to reconstruct realistic and accurate facial expressions. Early deep learning methods focus only on pixel-level manipulation and are not suitable for generating realistic facial expressions. In this paper, we propose a bottleneck-layered conditional generative adversarial networks (BCGAN) for more realistic and accurate facial expression synthesis. BCGAN adopts a bottleneck layer that uses channel-wise concatenation in the generator to train with meaningful features only. In addition, a dense connection that links all bottleneck layers is added to generate an image which preserves the facial details of the original image. Both quantitative and qualitative evaluations were performed using the Radboud Faces Database (RaFD). Experimental results showed that BCGAN had 2\\% higher classification accuracy (98.7\\%) on the generated images as well as faster training speed compared to state-of-the-art approach.', 'pages': '1-4', 'number': '', 'volume': '', 'year': '2021', 'title': 'BCGAN: Facial Expression Synthesis by Bottleneck-Layered Conditional Generative Adversarial Networks', 'booktitle': '2021 15th International Conference on Ubiquitous Information Management and Communication (IMCOM)', 'author': 'Shin, Yeji and Bum, Junghyun and Son, Chang-Hwan and Choo, Hyunseung', 'ENTRYTYPE': 'inproceedings', 'ID': '9377424'}"
10435654,Identification of Fingerprint Orientation Using Improved Generative Adversarial Network with Support Vector Machine,"Hameed Abdul Hussein, Abbas and Ravindran, Gobinath and Latef naser, Zamen and Almusawi, Muntather and K, Santhiya",Hameed Abdul Hussein,10.1109/ICMNWC60182.2023.10435654,2023,2023 3rd International Conference on Mobile Networks and Wireless Communications (ICMNWC),"Fingerprint authentication is one of the methods used to prevent the loss of personal data, but the minutiae and angle variance of finger patterns make the process difficult. To overcome the issue, an authentication system for fingerprint orientation using an improved Generative Adversarial Network (GAN) with Support Vector Machine (SVM) is being developed. The process begins with image enhancement using Contrastive Limited Adaptive Histogram Equalization (CLAHE) techniques to increase image contrast. Next, GAN with SVM is employed to generate synthetic data through data augmentation, and decision-making is carried out using SVM. Both real and synthetic samples are binarized using the global thresholding technique, and edge-based thinning methods are applied to enhance the fingerprint patterns. Finally, features such as minutiae points of fingerprints are extracted using the Scale Invariant Feature Transform (SIFT) algorithm, serving as input for the SVM classifier. The implemented GAN-SVM model demonstrates superior performance, achieving a False Acceptance Rate (FAR) of 0.12\%, a False Rejection Rate (FRR) of 1.3\%, an Equal Error Rate (EER) of 0.29\%, and an accuracy of 95.87\%. When compared to previous models like Multi-layer Perceptron Neural Network (MLP), Fuzzy Commitment (FC), and Genetic Encryption Algorithm (GEA).",Support vector machines;Image edge detection;Authentication;Fingerprint recognition;Feature extraction;Generative adversarial networks;Synthetic data;Contrastive Limited Adaptive Histogram Equalization;Generative Adversarial Network;Global Thresholding;Scale Invariant Feature Transform;Support Vector Machine,"{'month': 'Dec', 'issn': '', 'doi': '10.1109/ICMNWC60182.2023.10435654', 'keywords': 'Support vector machines;Image edge detection;Authentication;Fingerprint recognition;Feature extraction;Generative adversarial networks;Synthetic data;Contrastive Limited Adaptive Histogram Equalization;Generative Adversarial Network;Global Thresholding;Scale Invariant Feature Transform;Support Vector Machine', 'abstract': 'Fingerprint authentication is one of the methods used to prevent the loss of personal data, but the minutiae and angle variance of finger patterns make the process difficult. To overcome the issue, an authentication system for fingerprint orientation using an improved Generative Adversarial Network (GAN) with Support Vector Machine (SVM) is being developed. The process begins with image enhancement using Contrastive Limited Adaptive Histogram Equalization (CLAHE) techniques to increase image contrast. Next, GAN with SVM is employed to generate synthetic data through data augmentation, and decision-making is carried out using SVM. Both real and synthetic samples are binarized using the global thresholding technique, and edge-based thinning methods are applied to enhance the fingerprint patterns. Finally, features such as minutiae points of fingerprints are extracted using the Scale Invariant Feature Transform (SIFT) algorithm, serving as input for the SVM classifier. The implemented GAN-SVM model demonstrates superior performance, achieving a False Acceptance Rate (FAR) of 0.12\\%, a False Rejection Rate (FRR) of 1.3\\%, an Equal Error Rate (EER) of 0.29\\%, and an accuracy of 95.87\\%. When compared to previous models like Multi-layer Perceptron Neural Network (MLP), Fuzzy Commitment (FC), and Genetic Encryption Algorithm (GEA).', 'pages': '1-5', 'number': '', 'volume': '', 'year': '2023', 'title': 'Identification of Fingerprint Orientation Using Improved Generative Adversarial Network with Support Vector Machine', 'booktitle': '2023 3rd International Conference on Mobile Networks and Wireless Communications (ICMNWC)', 'author': 'Hameed Abdul Hussein, Abbas and Ravindran, Gobinath and Latef naser, Zamen and Almusawi, Muntather and K, Santhiya', 'ENTRYTYPE': 'inproceedings', 'ID': '10435654'}"
11065002,Generative Adversarial Network based Data Augmentation Method for Bearing Fault diagnosis,"Li, Zhichao and Shen, Mingxue and Qin, Lei and Tian, Li",Li,10.1109/DDCLS66240.2025.11065002,2025,2025 IEEE 14th Data Driven Control and Learning Systems (DDCLS),"As a critical component of rotating machinery, the fault diagnosis of bearings holds significant importance. The deep learning-based approach to bearing fault diagnosis necessitates a substantial amount of fault data, which is often challenging to obtain in practical engineering scenarios. This data imbalance issue severely impacts the accuracy of fault diagnosis. To address this challenge, we propose a data augmentation method based on Multi-Source Generative Adversarial Network with Quality Assessment and Screening Module (MGAN-QASM). Firstly, the generator and discriminator are restructured using three loss functions, enhancing the stability of training and diversifying the generated data. Secondly, QASM screens for both similar and diverse samples to balance the training dataset. Finally, Deep Convolutional Neural Networks with Wide first-layer kernels (WDCNN) are employed for fault diagnosis. The results show that the proposed method has higher fault diagnosis accuracy than other methods under different imbalance ratio conditions.",Fault diagnosis;Training;Learning systems;Accuracy;Process control;Generative adversarial networks;Data augmentation;Quality assessment;Machinery;Kernel;Generative adversarial networks;Data augmentation;Imbalance;Quality assessment and screening;Fault diagnosis,"{'month': 'May', 'issn': '2767-9861', 'doi': '10.1109/DDCLS66240.2025.11065002', 'keywords': 'Fault diagnosis;Training;Learning systems;Accuracy;Process control;Generative adversarial networks;Data augmentation;Quality assessment;Machinery;Kernel;Generative adversarial networks;Data augmentation;Imbalance;Quality assessment and screening;Fault diagnosis', 'abstract': 'As a critical component of rotating machinery, the fault diagnosis of bearings holds significant importance. The deep learning-based approach to bearing fault diagnosis necessitates a substantial amount of fault data, which is often challenging to obtain in practical engineering scenarios. This data imbalance issue severely impacts the accuracy of fault diagnosis. To address this challenge, we propose a data augmentation method based on Multi-Source Generative Adversarial Network with Quality Assessment and Screening Module (MGAN-QASM). Firstly, the generator and discriminator are restructured using three loss functions, enhancing the stability of training and diversifying the generated data. Secondly, QASM screens for both similar and diverse samples to balance the training dataset. Finally, Deep Convolutional Neural Networks with Wide first-layer kernels (WDCNN) are employed for fault diagnosis. The results show that the proposed method has higher fault diagnosis accuracy than other methods under different imbalance ratio conditions.', 'pages': '1095-1101', 'number': '', 'volume': '', 'year': '2025', 'title': 'Generative Adversarial Network based Data Augmentation Method for Bearing Fault diagnosis', 'booktitle': '2025 IEEE 14th Data Driven Control and Learning Systems (DDCLS)', 'author': 'Li, Zhichao and Shen, Mingxue and Qin, Lei and Tian, Li', 'ENTRYTYPE': 'inproceedings', 'ID': '11065002'}"
